SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
AGAF;AFT;AFUTARA AIRPORT;AFUTARA;;ILHAS SALOMÃO;N/I;-9,191389;160,948333
AGAR;RNA;ULAWA AIRPORT;ARONA, ULAWA ISLAND;;ILHAS SALOMÃO;N/I;-9,854722;161,979167
AGAT;ATD;URU HARBOUR AIRPORT;ATOIFI, MALAITA;;ILHAS SALOMÃO;N/I;-8,873333;161,011389
AGGA;AKS;AUKI GWAUNARU´U AIRPORT;AUKI;;ILHAS SALOMÃO;N/I;-8,697778;160,680833
AGGB;BNY;BELLONA/ANUA AIRPORT;BELLONA/ANUA;;ILHAS SALOMÃO;N/I;-11,301667;159,798056
AGGC;CHY;CHOISEUL BAY AIRPORT;CHOISEUL BAY, TARO ISLAND;;ILHAS SALOMÃO;N/I;-6,711944;156,396111
AGGD;MBU;MBAMBANAKIRA AIRPORT;MBAMBANAKIRA;;ILHAS SALOMÃO;N/I;-9,7475;159,838889
AGGE;BAS;BALALAE AIRPORT;SHORTLAND ISLAND;;ILHAS SALOMÃO;N/I;-6,9925;155,888333
AGGF;FRE;FERA/MARINGE AIRPORT;FERA ISLAND, SANTA ISABEL ISLAND;;ILHAS SALOMÃO;N/I;-8,107222;159,5775
AGGH;HIR;HONIARA INTERNATIONAL AIRPORT (HENDERSON FIELD);HONIARA, GUADALCANAL;;ILHAS SALOMÃO;N/I;-9,428056;160,054722
AGGK;IRA;KIRAKIRA AIRPORT;KIRAKIRA;;ILHAS SALOMÃO;N/I;-10,449444;161,898333
AGGL;SCZ;SANTA CRUZ/GRACIOSA BAY/LUOVA AIRPORT;SANTA CRUZ/GRACIOSA BAY/LUOVA, SANTA CRUZ ISLAND;;ILHAS SALOMÃO;N/I;-10,719722;165,797778
AGGM;MUA;MUNDA AIRPORT;MUNDA, NEW GEORGIA ISLAND;;ILHAS SALOMÃO;N/I;-8,327969;157,263092
AGGN;GZO;NUSATUPE AIRPORT;GIZO ISLAND;;ILHAS SALOMÃO;N/I;-8,098611;156,864167
AGGO;MNY;MONO AIRPORT;MONO ISLAND;;ILHAS SALOMÃO;N/I;-7,416111;155,565278
AGGR;RNL;RENNELL/TINGOA AIRPORT;RENNELL/TINGOA, RENNELL ISLAND;;ILHAS SALOMÃO;N/I;-11,55;160,062778
AGGS;EGM;SEGHE AIRPORT;SEGHE;;ILHAS SALOMÃO;N/I;-8,578;157,875
AGGT;NNB;SANTA ANA AIRPORT;SANTA ANA;;ILHAS SALOMÃO;N/I;-10,848056;162,454167
AGGU;RUS;MARAU AIRPORT;MARAU;;ILHAS SALOMÃO;N/I;-9,861667;160,825
AGGV;VAO;SUAVANAO AIRPORT;SUAVANAO;;ILHAS SALOMÃO;N/I;-7,585833;158,731389
AGGY;XYA;YANDINA AIRPORT;YANDINA;;ILHAS SALOMÃO;N/I;-9,092778;159,218889
AGKG;KGE;KAGHAU AIRPORT;KAGHAU;;ILHAS SALOMÃO;N/I;-7,332778;157,586944
AGOK;GTA;GATOKAE AERODROME;GATOKAE;;ILHAS SALOMÃO;N/I;-8,739167;158,203056
AGRM;RBV;RAMATA AIRPORT;RAMATA ISLAND;;ILHAS SALOMÃO;N/I;-8,168056;157,6425
ANYN;INU;NAURU INTERNATIONAL AIRPORT;YAREN;;NAURU;N/I;-0,547458;166,9191
AYBK;BUA;BUKA AIRPORT;BUKA;;PAPUA-NOVA GUINÉ;N/I;-5,422222;154,6725
AYCH;CMU;CHIMBU AIRPORT;KUNDIAWA;;PAPUA-NOVA GUINÉ;N/I;-6,024167;144,970278
AYDU;DAU;DARU AIRPORT;DARU;;PAPUA-NOVA GUINÉ;N/I;-9,086667;143,207778
AYGA;GKA;GOROKA AIRPORT;GOROKA;;PAPUA-NOVA GUINÉ;N/I;-6,081689;145,391881
AYGN;GUR;GURNEY AIRPORT;ALOTAU;;PAPUA-NOVA GUINÉ;N/I;-10,311389;150,333611
AYGR;PNP;GIRUA AIRPORT;POPONDETTA;;PAPUA-NOVA GUINÉ;N/I;-8,804444;148,308889
AYHK;HKN;HOSKINS AIRPORT;HOSKINS;;PAPUA-NOVA GUINÉ;N/I;-5,462169;150,404944
AYKI;UNG;KIUNGA AIRPORT;KIUNGA;;PAPUA-NOVA GUINÉ;N/I;-6,125667;141,282
AYKK;KRI;KIKORI AIRPORT;KIKORI;;PAPUA-NOVA GUINÉ;N/I;-7,424722;144,249722
AYKM;KMA;KEREMA AIRPORT;KEREMA;;PAPUA-NOVA GUINÉ;N/I;-7,963611;145,771389
AYKT;KZF;KIETA AROPA AIRPORT;KIETA;;PAPUA-NOVA GUINÉ;N/I;-6,303333;155,723333
AYKV;KVG;KAVIENG AIRPORT;KAVIENG;;PAPUA-NOVA GUINÉ;N/I;-2,579167;150,807778
AYKY;LNV;KUNAYE AIRPORT;KUNAYE;;PAPUA-NOVA GUINÉ;N/I;-3,0424;152,6279
AYMD;MAG;MADANG AIRPORT;MADANG;;PAPUA-NOVA GUINÉ;N/I;-5,208333;145,783333
AYMH;HGU;MOUNT HAGEN AIRPORT;MOUNT HAGEN;;PAPUA-NOVA GUINÉ;N/I;-5,826789;144,295861
AYMN;MDU;MENDI AIRPORT;MENDI;;PAPUA-NOVA GUINÉ;N/I;-6,147739;143,657164
AYMO;MAS;MOMOTE AIRPORT;MANUS ISLAND;;PAPUA-NOVA GUINÉ;N/I;-2,061944;147,424167
AYMR;MXH;MORO AIRPORT;MORO;;PAPUA-NOVA GUINÉ;N/I;-6,363333;143,238056
AYMS;MIS;MISIMA ISLAND AIRPORT;MISIMA;;PAPUA-NOVA GUINÉ;N/I;-10,689167;152,838056
AYNZ;LAE;LAE NADZAB AIRPORT;LAE/NADZAB;;PAPUA-NOVA GUINÉ;N/I;-6,569722;146,726111
AYPY;POM;PORT MORESBY/JACKSON INTERNATIONAL AIRPORT;PORT MORESBY;;PAPUA-NOVA GUINÉ;N/I;-9,443333;147,22
AYTA;TIZ;TARI AIRPORT;TARI;;PAPUA-NOVA GUINÉ;N/I;-5,845;142,948
AYTB;TBG;TABUBIL AIRPORT;TABUBIL;;PAPUA-NOVA GUINÉ;N/I;-5,278611;141,225833
AYTK;RAB;RABAUL AIRPORT (TOKUA AIRPORT);RABAUL/TOKUA;;PAPUA-NOVA GUINÉ;N/I;-4,340278;152,379444
AYVN;VAI;VANIMO AIRPORT;VANIMO;;PAPUA-NOVA GUINÉ;N/I;-2,697167;141,302286
AYWD;WBM;WAPENAMANDA AIRPORT;WAPENAMANDA;;PAPUA-NOVA GUINÉ;N/I;-5,643303;143,895411
AYWK;WWK;WEWAK INTERNATIONAL AIRPORT;WEWAK;;PAPUA-NOVA GUINÉ;N/I;-3,583828;143,669186
BGAA;JEG;AASIAAT AIRPORT;AASIAAT (EGEDESMINDE, AUSIAT);;GROENLÂNDIA;N/I;68,721944;-52,784722
BGBW;UAK;NARSARSUAQ AIRPORT;NARSARSUAQ (NARSSARSSUAQ);;GROENLÂNDIA;N/I;61,160556;-45,425556
